"BehaviorSpace results (NetLogo 6.1.1)"
"COVID-19_Urban_and_Rural_Model.nlogo"
"experiment"
"08/29/2020 15:39:32:078 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","1","1","1","1","1","1","2","2","2","2","2","2","3","3","3","3","3","3","4","4","4","4","4","4","5","5","5","5","5","5","6","6","6","6","6","6","7","7","7","7","7","7","8","8","8","8","8","8"
"grocery-distance-phase2","true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,
"phase2-start-day","365",,,,,,"365",,,,,,"365",,,,,,"365",,,,,,"365",,,,,,"365",,,,,,"365",,,,,,"365",,,,,
"resturant-mode-phase1","outdoor",,,,,,"outdoor",,,,,,"outdoor",,,,,,"outdoor",,,,,,"outdoor",,,,,,"outdoor",,,,,,"outdoor",,,,,,"outdoor",,,,,
"lockdown-start-day","9",,,,,,"9",,,,,,"9",,,,,,"9",,,,,,"9",,,,,,"9",,,,,,"9",,,,,,"9",,,,,
"grocery-distance-phase4","true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,
"masks-lockdown","false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,
"retail-mode-lockdown","closed",,,,,,"closed",,,,,,"closed",,,,,,"closed",,,,,,"closed",,,,,,"closed",,,,,,"closed",,,,,,"closed",,,,,
"children-pct","24.8",,,,,,"24.8",,,,,,"24.8",,,,,,"24.8",,,,,,"24.8",,,,,,"24.8",,,,,,"24.8",,,,,,"24.8",,,,,
"pop-density","2190",,,,,,"2190",,,,,,"2190",,,,,,"2190",,,,,,"2190",,,,,,"2190",,,,,,"2190",,,,,,"2190",,,,,
"retail-mode-phase3","open",,,,,,"open",,,,,,"open",,,,,,"open",,,,,,"open",,,,,,"open",,,,,,"open",,,,,,"open",,,,,
"stay-at-home-phase3","true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,
"social-distance-lockdown","true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,
"fourties-pct","12.3",,,,,,"12.3",,,,,,"12.3",,,,,,"12.3",,,,,,"12.3",,,,,,"12.3",,,,,,"12.3",,,,,,"12.3",,,,,
"retail-mode-phase5","full capacity",,,,,,"full capacity",,,,,,"full capacity",,,,,,"full capacity",,,,,,"full capacity",,,,,,"full capacity",,,,,,"full capacity",,,,,,"full capacity",,,,,
"stay-at-home-phase5","false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,
"masks-phase2","false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,
"grocery-distance-lockdown","false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,
"sixties-pct","11.6",,,,,,"11.6",,,,,,"11.6",,,,,,"11.6",,,,,,"11.6",,,,,,"11.6",,,,,,"11.6",,,,,,"11.6",,,,,
"eighty-plus-pct","4",,,,,,"4",,,,,,"4",,,,,,"4",,,,,,"4",,,,,,"4",,,,,,"4",,,,,,"4",,,,,
"masks-phase4","true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,
"resturant-mode-phase4","indoor",,,,,,"indoor",,,,,,"indoor",,,,,,"indoor",,,,,,"indoor",,,,,,"indoor",,,,,,"indoor",,,,,,"indoor",,,,,
"social-distance-phase3","false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,
